
📈 Progress:
2025-05-04 03:59:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 91494.689 GB | Δt:  600 s | Speed:  910.253 MB/s
2025-05-04 04:09:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 92005.773 GB | Δt:  600 s | Speed:  872.250 MB/s
2025-05-04 04:19:50 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 92511.250 GB | Δt:  600 s | Speed:  862.680 MB/s
2025-05-04 04:29:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 93023.105 GB | Δt:  601 s | Speed:  872.113 MB/s
2025-05-04 04:39:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 93541.593 GB | Δt:  600 s | Speed:  884.887 MB/s
2025-05-04 04:49:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 94076.127 GB | Δt:  600 s | Speed:  912.270 MB/s
2025-05-04 04:59:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 94606.445 GB | Δt:  600 s | Speed:  905.077 MB/s
2025-05-04 05:09:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 95141.453 GB | Δt:  600 s | Speed:  913.080 MB/s
2025-05-04 05:19:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 95675.269 GB | Δt:  600 s | Speed:  911.047 MB/s
2025-05-04 05:29:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 96017.512 GB | Δt:  600 s | Speed:  584.095 MB/s
2025-05-04 05:39:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 96271.104 GB | Δt:  600 s | Speed:  432.797 MB/s
2025-05-04 05:49:51 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 96539.440 GB | Δt:  600 s | Speed:  457.960 MB/s
2025-05-04 05:59:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 96806.766 GB | Δt:  601 s | Speed:  455.478 MB/s
2025-05-04 06:09:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 97079.296 GB | Δt:  600 s | Speed:  465.117 MB/s
2025-05-04 06:19:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 97360.926 GB | Δt:  600 s | Speed:  480.650 MB/s
2025-05-04 06:29:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 97634.294 GB | Δt:  600 s | Speed:  466.547 MB/s
2025-05-04 06:39:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 97903.653 GB | Δt:  600 s | Speed:  459.707 MB/s
2025-05-04 06:49:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 98180.259 GB | Δt:  600 s | Speed:  472.073 MB/s
2025-05-04 06:59:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 98458.716 GB | Δt:  600 s | Speed:  475.233 MB/s
2025-05-04 07:09:52 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 98737.856 GB | Δt:  600 s | Speed:  476.400 MB/s
2025-05-04 07:19:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 99009.436 GB | Δt:  601 s | Speed:  462.725 MB/s
2025-05-04 07:29:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 99281.950 GB | Δt:  600 s | Speed:  465.090 MB/s
2025-05-04 07:39:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 99536.081 GB | Δt:  600 s | Speed:  433.717 MB/s
2025-05-04 07:49:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 99764.665 GB | Δt:  600 s | Speed:  390.117 MB/s
2025-05-04 07:59:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 99994.389 GB | Δt:  600 s | Speed:  392.063 MB/s
2025-05-04 08:09:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 100232.471 GB | Δt:  600 s | Speed:  406.327 MB/s
2025-05-04 08:19:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 100444.592 GB | Δt:  600 s | Speed:  362.020 MB/s
2025-05-04 08:29:53 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 100674.844 GB | Δt:  600 s | Speed:  392.963 MB/s
2025-05-04 08:39:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 100911.665 GB | Δt:  601 s | Speed:  403.501 MB/s
2025-05-04 08:49:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 101151.442 GB | Δt:  600 s | Speed:  409.220 MB/s
2025-05-04 08:59:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 101388.063 GB | Δt:  600 s | Speed:  403.833 MB/s
2025-05-04 09:09:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 101625.378 GB | Δt:  600 s | Speed:  405.017 MB/s
2025-05-04 09:19:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 101865.903 GB | Δt:  600 s | Speed:  410.497 MB/s
2025-05-04 09:29:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 102102.907 GB | Δt:  600 s | Speed:  404.487 MB/s
2025-05-04 09:39:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 102347.225 GB | Δt:  600 s | Speed:  416.970 MB/s
2025-05-04 09:49:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 102590.911 GB | Δt:  600 s | Speed:  415.890 MB/s
2025-05-04 09:59:54 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 102832.178 GB | Δt:  600 s | Speed:  411.763 MB/s
2025-05-04 10:09:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 103072.169 GB | Δt:  601 s | Speed:  408.902 MB/s
2025-05-04 10:19:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 103316.495 GB | Δt:  600 s | Speed:  416.983 MB/s
2025-05-04 10:29:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 103558.971 GB | Δt:  600 s | Speed:  413.827 MB/s
2025-05-04 10:39:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 103755.073 GB | Δt:  600 s | Speed:  334.680 MB/s
2025-05-04 10:49:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 104001.878 GB | Δt:  600 s | Speed:  421.213 MB/s
2025-05-04 10:59:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 104243.700 GB | Δt:  600 s | Speed:  412.710 MB/s
2025-05-04 11:09:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 104465.188 GB | Δt:  600 s | Speed:  378.007 MB/s
2025-05-04 11:19:55 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 104642.382 GB | Δt:  600 s | Speed:  302.410 MB/s
2025-05-04 11:29:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 104838.130 GB | Δt:  601 s | Speed:  333.521 MB/s
2025-05-04 11:39:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 105033.438 GB | Δt:  600 s | Speed:  333.327 MB/s
2025-05-04 11:49:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 105228.026 GB | Δt:  600 s | Speed:  332.097 MB/s
2025-05-04 11:59:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 105422.966 GB | Δt:  600 s | Speed:  332.697 MB/s
2025-05-04 12:09:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 105617.721 GB | Δt:  600 s | Speed:  332.383 MB/s
2025-05-04 12:19:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 105810.776 GB | Δt:  600 s | Speed:  329.480 MB/s
2025-05-04 12:29:56 | Job 177 | Files: 2155  | Dirs: 4523  | Data: 105985.327 GB | Δt:  600 s | Speed:  297.900 MB/s
